Site,PullDate,ValidDate,ValidHoure,Mean,Min,Max,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50,average
Cranwell,2022-07-28,2022-08-10,12:00:00,19143569.090909,6120090.9090909,24350727.272727,23514363.636364,23524818.181818,18782636.363636,19303272.727273,18623727.272727,10557000,22786727.272727,23349181.818182,23867727.272727,22834818.181818,17739272.727273,17956727.272727,23625181.818182,23041818.181818,22761636.363636,24350727.272727,22554636.363636,23497636.363636,11730000,10416909.090909,16430363.636364,18943636.363636,23727636.363636,19278181.818182,16026818.181818,16311181.818182,24162545.454545,23654454.545455,12085454.545455,6120090.9090909,21410909.090909,20697909.090909,21107727.272727,23583363.636364,19539545.454545,13024272.727273,23830090.909091,19412000,19100454.545455,13377636.363636,12340545.454545,14567363.636364,6920909.0909091,23158909.090909,20578727.272727,23953454.545455,16181545.454545,23662818.181818,24175090.909091,14996000,19143569.1
Cranwell,2022-07-28,2022-08-10,18:00:00,18221770.909091,4917818.1818182,25680545.454545,24658090.909091,23004181.818182,15336818.181818,18400000,17233272.727273,11370363.636364,24768909.090909,20800363.636364,24879727.272727,17833363.636364,11801090.909091,15177909.090909,24787727.272727,16493090.909091,16624818.181818,25477727.272727,19386909.090909,11736272.727273,16754454.545455,17615909.090909,15368181.818182,17425636.363636,24081000,17774818.181818,16750272.727273,15100545.454545,18851636.363636,24526363.636364,13141363.636364,4917818.1818182,18889272.727273,13463363.636364,24490818.181818,23242545.454545,20957181.818182,11719545.454545,24398818.181818,10784909.090909,18431363.636364,12995000,11481181.818182,20091545.454545,8129454.5454545,20881909.090909,16095818.181818,24380000,24833727.272727,24806545.454545,25680545.454545,13256363.636364,18221770.9
Cranwell,2022-07-28,2022-08-11,00:00:00,621920,142181.81818182,865636.36363636,782000,784090.90909091,713000,405636.36363636,487181.81818182,539454.54545455,798727.27272727,761090.90909091,836363.63636364,391000,506000,679545.45454545,742272.72727273,518545.45454545,606363.63636364,844727.27272727,821727.27272727,552000,566636.36363636,570818.18181818,704636.36363636,353363.63636364,635636.36363636,813363.63636364,654454.54545455,717181.81818182,564545.45454545,811272.72727273,340818.18181818,142181.81818182,671181.81818182,391000,813363.63636364,796636.36363636,767363.63636364,562454.54545455,800818.18181818,414000,506000,439090.90909091,363818.18181818,600090.90909091,468363.63636364,462090.90909091,453727.27272727,731818.18181818,834272.72727273,809181.81818182,865636.36363636,700454.54545455,621920.0
Cranwell,2022-07-28,2022-08-11,06:00:00,407852.72727273,56454.545454545,562454.54545455,545727.27272727,531090.90909091,516454.54545455,503909.09090909,357545.45454545,518545.45454545,411909.09090909,516454.54545455,541545.45454545,347090.90909091,480909.09090909,483000,549909.09090909,221636.36363636,211181.81818182,562454.54545455,547818.18181818,338727.27272727,520636.36363636,466272.72727273,489272.72727273,424454.54545455,278090.90909091,510181.81818182,332454.54545455,526909.09090909,200727.27272727,317818.18181818,284363.63636364,284363.63636364,520636.36363636,556181.81818182,470454.54545455,85727.272727273,512272.72727273,506000,378454.54545455,363818.18181818,391000,299000,217454.54545455,273909.09090909,518545.45454545,56454.545454545,60636.363636364,455818.18181818,545727.27272727,395181.81818182,491363.63636364,472545.45454545,407852.7
Cranwell,2022-07-28,2022-08-11,12:00:00,17734547.272727,4692000,24231545.454545,23539454.545455,18303818.181818,18165818.181818,21927363.636364,12825636.363636,21084727.272727,23102454.545455,23324090.909091,23140090.909091,18121909.090909,15420454.545455,15608636.363636,23888636.363636,12560090.909091,14345727.272727,24106090.909091,23796636.363636,15727818.181818,24231545.454545,15194636.363636,11909818.181818,19803000,9973636.3636364,17850090.909091,12595636.363636,23181909.090909,16599727.272727,23094090.909091,11491636.363636,17881454.545455,18504545.454545,23405636.363636,22824363.636364,4692000,20007909.090909,19543727.272727,7253363.6363636,17618000,18866272.727273,15460181.818182,11261636.363636,14602909.090909,21822818.181818,5660090.9090909,5996727.2727273,18889272.727273,24028727.272727,20380090.909091,23970181.818182,19142272.727273,17734547.3
Cranwell,2022-07-28,2022-08-11,18:00:00,17891658.181818,4355363.6363636,25619909.090909,24718727.272727,13524000,13348363.636364,21339818.181818,13726818.181818,11811545.454545,25059545.454545,23399363.636364,16106272.727273,23100363.636364,4355363.6363636,18820272.727273,24967545.454545,18448090.909091,11661000,25377363.636364,22450090.909091,22126000,25619909.090909,6680454.5454545,11487454.545455,21695272.727273,9787545.4545455,17128727.272727,14753454.545455,20996909.090909,17084818.181818,24998909.090909,13816727.272727,12610272.727273,17210272.727273,18680181.818182,24097727.272727,4922000,24223181.818182,13218727.272727,14431454.545455,11773909.090909,23027181.818182,13584636.363636,11964181.818182,23309454.545455,22830636.363636,19466363.636364,10281000,19010545.454545,23591727.272727,23225818.181818,25139000,19593909.090909,17891658.2
Cranwell,2022-07-28,2022-08-12,00:00:00,610963.63636364,148454.54545455,825909.09090909,788272.72727273,579181.81818182,641909.09090909,800818.18181818,365909.09090909,148454.54545455,807090.90909091,773636.36363636,508090.90909091,662818.18181818,171454.54545455,685818.18181818,794545.45454545,654454.54545455,491363.63636364,809181.81818182,516454.54545455,742272.72727273,825909.09090909,196545.45454545,443272.72727273,798727.27272727,589636.36363636,405636.36363636,286454.54545455,635636.36363636,727636.36363636,790363.63636364,616818.18181818,495545.45454545,654454.54545455,771545.45454545,733909.09090909,165181.81818182,788272.72727273,545727.27272727,667000,520636.36363636,825909.09090909,568727.27272727,372181.81818182,802909.09090909,763181.81818182,623090.90909091,445363.63636364,612636.36363636,786181.81818182,798727.27272727,773636.36363636,575000,610963.6
Cranwell,2022-07-28,2022-08-12,06:00:00,399238.18181818,94090.909090909,556181.81818182,524818.18181818,464181.81818182,445363.63636364,449545.45454545,296909.09090909,547818.18181818,416090.90909091,497636.36363636,378454.54545455,483000,480909.09090909,499727.27272727,447454.54545455,330363.63636364,198636.36363636,464181.81818182,449545.45454545,485090.90909091,539454.54545455,94090.909090909,192363.63636364,510181.81818182,242545.45454545,556181.81818182,190272.72727273,336636.36363636,474636.36363636,422363.63636364,305272.72727273,470454.54545455,296909.09090909,359636.36363636,487181.81818182,192363.63636364,533181.81818182,512272.72727273,531090.90909091,125454.54545455,529000,192363.63636364,393090.90909091,501818.18181818,215363.63636364,246727.27272727,119181.81818182,510181.81818182,472545.45454545,512272.72727273,531090.90909091,506000,399238.2
Cranwell,2022-07-28,2022-08-12,12:00:00,18516798.181818,7069363.6363636,24198090.909091,23629363.636364,20340363.636364,19719363.636364,22878727.272727,14676090.909091,17873090.909091,17404727.272727,23474636.363636,21348181.818182,22011000,18272454.545455,19313727.272727,22036090.909091,18450181.818182,17659818.181818,23234181.818182,20344545.454545,23667000,24110272.727273,11481181.818182,10927090.909091,21022000,14717909.090909,23374272.727273,8884272.7272727,13411090.909091,20781545.454545,20242090.909091,14979272.727273,18119818.181818,18699000,15332636.363636,16612272.727273,11880545.454545,23662818.181818,23363818.181818,20281818.181818,13105818.181818,21419272.727273,9825181.8181818,21344000,16085363.636364,14211909.090909,14335272.727273,7069363.6363636,18172090.909091,22958181.818182,23564545.454545,24198090.909091,21333545.454545,18516798.2
Cranwell,2022-07-28,2022-08-12,18:00:00,18720996.363636,9016000,25335545.454545,24814909.090909,19062818.181818,18544272.727273,23384727.272727,19152727.272727,14529727.272727,17766454.545455,24626727.272727,20503454.545455,21241545.454545,21289636.363636,17233272.727273,16633181.818182,18615363.636364,15537545.454545,25013545.454545,17270909.090909,23347090.909091,24331909.090909,12823545.454545,9016000,21220636.363636,16491000,14653090.909091,10299818.181818,13273090.909091,14623818.181818,21057545.454545,14002818.181818,17137090.909091,16764909.090909,16969818.181818,16662454.545455,18065454.545455,23823818.181818,23928363.636364,17599181.818182,16064454.545455,18724090.909091,12169090.909091,24860909.090909,17526000,22747000,19380636.363636,14370818.181818,16884090.909091,24388363.636364,25335545.454545,25274909.090909,17011636.363636,18720996.4
Cranwell,2022-07-28,2022-08-13,00:00:00,589469.09090909,85727.272727273,805000,748545.45454545,713000,635636.36363636,805000,593818.18181818,535272.72727273,671181.81818182,765272.72727273,675363.63636364,744363.63636364,641909.09090909,495545.45454545,85727.272727273,623090.90909091,503909.09090909,779909.09090909,637727.27272727,736000,708818.18181818,537363.63636364,173545.45454545,679545.45454545,562454.54545455,273909.09090909,265545.45454545,405636.36363636,422363.63636364,771545.45454545,547818.18181818,466272.72727273,568727.27272727,625181.81818182,200727.27272727,675363.63636364,767363.63636364,700454.54545455,501818.18181818,579181.81818182,549909.09090909,434909.09090909,775727.27272727,577090.90909091,771545.45454545,667000,386818.18181818,648181.81818182,683727.27272727,796636.36363636,792454.54545455,564545.45454545,589469.1
Cranwell,2022-07-28,2022-08-13,06:00:00,388240,50181.818181818,529000,462090.90909091,485090.90909091,489272.72727273,414000,466272.72727273,455818.18181818,395181.81818182,411909.09090909,432818.18181818,282272.72727273,50181.818181818,506000,529000,422363.63636364,355454.54545455,470454.54545455,487181.81818182,357545.45454545,133818.18181818,516454.54545455,326181.81818182,372181.81818182,420272.72727273,87818.181818182,190272.72727273,476727.27272727,359636.36363636,466272.72727273,470454.54545455,472545.45454545,328272.72727273,286454.54545455,372181.81818182,186090.90909091,478818.18181818,474636.36363636,334545.45454545,307363.63636364,501818.18181818,351272.72727273,447454.54545455,349181.81818182,497636.36363636,426545.45454545,267636.36363636,503909.09090909,414000,480909.09090909,253000,384727.27272727,388240.0
Cranwell,2022-07-28,2022-08-13,12:00:00,18756667.272727,4367909.0909091,24060090.909091,22500272.727273,22052818.181818,22893363.636364,21906454.545455,21540545.454545,22057000,21249909.090909,22820181.818182,19961909.090909,20467909.090909,11083909.090909,22374818.181818,14395909.090909,20785727.272727,15196727.272727,23677454.545455,22107181.818182,19510272.727273,13266818.181818,24060090.909091,9310818.1818182,22724000,22454272.727273,4367909.0909091,11692363.636364,22788818.181818,15951545.454545,23255090.909091,19792545.454545,19974454.545455,14360363.636364,15794727.272727,11914000,11056727.272727,18550545.454545,23470454.545455,20913272.727273,19589727.272727,23474636.363636,21511272.727273,22849454.545455,20150090.909091,18441818.181818,19600181.818182,6325000,20110363.636364,15458090.909091,23683727.272727,21607454.545455,12750363.636364,18756667.3
Cranwell,2022-07-28,2022-08-13,18:00:00,18018158.181818,7596272.7272727,25412909.090909,23012545.454545,14820363.636364,15953636.363636,24725000,21047090.909091,22305818.181818,23211181.818182,22489818.181818,18517090.909091,16162727.272727,17946272.727273,14090636.363636,12066636.363636,20455363.636364,13174818.181818,24975909.090909,22759545.454545,18801454.545455,7596272.7272727,22675909.090909,15840727.272727,24720818.181818,18837000,13204090.909091,14151272.727273,24587000,17680727.272727,24181363.636364,22667545.454545,14174272.727273,12296636.363636,16654090.909091,11497909.090909,18456454.545455,16917545.454545,21126545.454545,8110636.3636364,16104181.818182,23815454.545455,17078545.454545,23577090.909091,23319909.090909,11765545.454545,10994000,9484363.6363636,12491090.909091,17523909.090909,25412909.090909,25118090.909091,12330090.909091,18018158.2
Cranwell,2022-07-28,2022-08-14,00:00:00,553421.81818182,204909.09090909,756909.09090909,579181.81818182,292727.27272727,625181.81818182,729727.27272727,612636.36363636,692090.90909091,650272.72727273,508090.90909091,499727.27272727,623090.90909091,526909.09090909,288545.45454545,531090.90909091,552000,414000,729727.27272727,685818.18181818,600090.90909091,380545.45454545,694181.81818182,253000,727636.36363636,687909.09090909,378454.54545455,658636.36363636,736000,535272.72727273,710909.09090909,740181.81818182,541545.45454545,238363.63636364,543636.36363636,363818.18181818,646090.90909091,409818.18181818,669090.90909091,204909.09090909,631454.54545455,736000,667000,629363.63636364,587545.45454545,439090.90909091,432818.18181818,334545.45454545,414000,434909.09090909,756909.09090909,744363.63636364,602181.81818182,553421.8
