Site,PullDate,ValidDate,ValidHoure,Mean,Min,Max,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50,average
BroomsBarn,2022-05-16,2022-05-21,15:00:00,24719940,15441363.636364,34357818.181818,15441363.636364,20436545.454545,26824272.727273,17923272.727273,34357818.181818,26822181.818182,16915454.545455,24522181.818182,24340272.727273,29523636.363636,21860454.545455,28844090.909091,32095454.545455,19713090.909091,22609000,23073181.818182,21875090.909091,23664909.090909,22692636.363636,22864090.909091,25042818.181818,29529909.090909,23669090.909091,25026090.909091,24952909.090909,28254454.545455,26703000,23930454.545455,25875000,19949363.636364,23422363.636364,23422363.636364,26887000,23087818.181818,28476090.909091,22521181.818182,24503363.636364,27062636.363636,23938818.181818,20639363.636364,29427454.545455,30322363.636364,25714000,23514363.636364,29061545.454545,24929909.090909,26002545.454545,20691636.363636,30707090.909091,22333000,24719940.0
BroomsBarn,2022-05-16,2022-05-21,18:00:00,17480334.545455,9712272.7272727,25638727.272727,13089090.909091,16767000,18717818.181818,13754000,25498636.363636,17396363.636364,9712272.7272727,21962909.090909,19938909.090909,20961363.636364,12999181.818182,17674454.545455,25638727.272727,14362454.545455,15633727.272727,13469636.363636,19524909.090909,14345727.272727,16955181.818182,12842363.636364,21275000,18684363.636364,17843818.181818,16614363.636364,18410454.545455,14241181.818182,17682818.181818,16056090.909091,19119272.727273,13900363.636364,17434000,17678636.363636,18370727.272727,16576727.272727,18786818.181818,17068090.909091,16741909.090909,20725090.909091,14128272.727273,15824000,22617363.636364,23777818.181818,18604909.090909,14542272.727273,20986454.545455,17310636.363636,15922272.727273,15163272.727273,20346636.363636,16338363.636364,17480334.5
BroomsBarn,2022-05-16,2022-05-21,21:00:00,7117454.5454545,3301545.4545455,10274727.272727,6011363.6363636,7401818.1818182,7696636.3636364,5819000,9436272.7272727,7947545.4545455,3301545.4545455,8418000,7991454.5454545,7868090.9090909,5319272.7272727,6463000,10249636.363636,6920909.0909091,6649090.9090909,6314545.4545455,8547636.3636364,6084545.4545455,7173909.0909091,6619818.1818182,8522545.4545455,5704000,7054727.2727273,6686727.2727273,7644363.6363636,3332909.0909091,6902090.9090909,7452000,8930272.7272727,5827363.6363636,7464545.4545455,7623454.5454545,6563363.6363636,7546090.9090909,6753636.3636364,6778727.2727273,7031727.2727273,8737909.0909091,5141545.4545455,7040090.9090909,8660545.4545455,10274727.272727,7882727.2727273,5649636.3636364,8336454.5454545,5825272.7272727,6636545.4545455,6801727.2727273,6676272.7272727,8156636.3636364,7117454.5
BroomsBarn,2022-05-16,2022-05-22,00:00:00,802741.81818182,184000,1072636.3636364,664909.09090909,886545.45454545,733909.09090909,539454.54545455,1039181.8181818,880272.72727273,685818.18181818,959727.27272727,769454.54545455,959727.27272727,727636.36363636,878181.81818182,982727.27272727,913727.27272727,865636.36363636,938818.18181818,1072636.3636364,899090.90909091,704636.36363636,807090.90909091,698363.63636364,819636.36363636,706727.27272727,951363.63636364,687909.09090909,184000,832181.81818182,986909.09090909,968090.90909091,681636.36363636,792454.54545455,884454.54545455,393090.90909091,813363.63636364,639818.18181818,907454.54545455,769454.54545455,823818.18181818,731818.18181818,629363.63636364,811272.72727273,1028727.2727273,1003636.3636364,890727.27272727,928363.63636364,232090.90909091,809181.81818182,913727.27272727,844727.27272727,863545.45454545,802741.8
BroomsBarn,2022-05-16,2022-05-22,06:00:00,1148076.3636364,355454.54545455,1380000,1321454.5454545,871909.09090909,1350727.2727273,1331909.0909091,474636.36363636,1183454.5454545,786181.81818182,1315181.8181818,355454.54545455,1304727.2727273,1363272.7272727,1304727.2727273,1212727.2727273,1237818.1818182,1346545.4545455,1329818.1818182,1357000,1340272.7272727,539454.54545455,1262909.0909091,846818.18181818,1087272.7272727,790363.63636364,1321454.5454545,1233636.3636364,1357000,560363.63636364,1344454.5454545,1160454.5454545,1189727.2727273,1137454.5454545,1344454.5454545,1198090.9090909,1380000,1262909.0909091,1244090.9090909,713000,1265000,1298454.5454545,1179272.7272727,1210636.3636364,1300545.4545455,426545.45454545,1369545.4545455,905363.63636364,1336090.9090909,1304727.2727273,1350727.2727273,1359090.9090909,1336090.9090909,1148076.4
BroomsBarn,2022-05-16,2022-05-22,12:00:00,21955883.636364,6272727.2727273,29107545.454545,24626727.272727,24975909.090909,23422363.636364,24731272.727273,10356272.727273,21051272.727273,18517090.909091,20250454.545455,15144454.545455,26330818.181818,21235272.727273,23604272.727273,17333636.363636,21484090.909091,26600545.454545,21548909.090909,22951909.090909,22891272.727273,25452636.363636,25297909.090909,22901727.272727,22119727.272727,21507090.909091,19970272.727273,22887090.909091,22544181.818182,20064363.636364,26054818.181818,23846818.181818,19405727.272727,27792363.636364,26590090.909091,21341909.090909,27901090.909091,21488272.727273,24250363.636364,17304363.636364,23483000,17003272.727273,18604909.090909,17534363.636364,28499090.909091,6272727.2727273,26036000,22893363.636364,20618454.545455,20499272.727273,20555727.272727,20909090.909091,29107545.454545,21955883.6
BroomsBarn,2022-05-16,2022-05-22,18:00:00,37073198.181818,13540727.272727,55572181.818182,38809363.636364,49393545.454545,36534454.545455,42058636.363636,23664909.090909,37389636.363636,36400636.363636,36829272.727273,27775636.363636,41257818.181818,32712272.727273,40967181.818182,29333363.636364,33015454.545455,42790454.545455,29473454.545455,36898272.727273,39879909.090909,41931090.909091,43160545.454545,41623727.272727,35702272.727273,39932181.818182,36774909.090909,39024727.272727,37795272.727273,35428363.636364,39187818.181818,40942090.909091,32453000,53291000,43549454.545455,34017000,42403636.363636,31909363.636364,37768090.909091,27104454.545455,36605545.454545,31175454.545455,29950181.818182,28321363.636364,53836727.272727,13540727.272727,42840636.363636,38844909.090909,34132000,33285181.818182,31457727.272727,34914000,55572181.818182,37073198.2
BroomsBarn,2022-05-16,2022-05-23,00:00:00,17026732.727273,7903636.3636364,28911000,16139727.272727,26368454.545455,15027363.636364,19700545.454545,14287181.818182,18446000,19633636.363636,18719909.090909,13915000,16990727.272727,13511454.545455,19330454.545455,13628545.454545,13377636.363636,18232727.272727,9902545.4545455,16298636.363636,19167363.636364,17689090.909091,19980727.272727,20541090.909091,15399545.454545,20156363.636364,18968727.272727,18211818.181818,17348272.727273,16980272.727273,15079636.363636,18427181.818182,15144454.545455,27710818.181818,19146454.545455,14389636.363636,16685454.545455,12047818.181818,15242727.272727,11259545.454545,15079636.363636,15920181.818182,13304454.545455,12857000,27731727.272727,7903636.3636364,18975000,17668181.818182,15380727.272727,14991818.181818,13112090.909091,16413636.363636,28911000,17026732.7
BroomsBarn,2022-05-16,2022-05-23,06:00:00,1719563.6363636,713000,2448454.5454545,2026090.9090909,2448454.5454545,1576545.4545455,2346000,802909.09090909,2019818.1818182,2040727.2727273,1829545.4545455,2304181.8181818,2047000,2007272.7272727,894909.09090909,1501272.7272727,1133272.7272727,1327727.2727273,1139545.4545455,2373181.8181818,1656000,809181.81818182,2272818.1818182,2070000,2074181.8181818,2245636.3636364,2139000,1693636.3636364,1083090.9090909,1411363.6363636,1430181.8181818,1346545.4545455,1800272.7272727,2392000,2126454.5454545,1158363.6363636,2072090.9090909,1354909.0909091,1528454.5454545,1712454.5454545,2051181.8181818,1844181.8181818,1555636.3636364,2053272.7272727,1566090.9090909,713000,1242000,2003090.9090909,1871363.6363636,2093000,1668545.4545455,1541000,1580727.2727273,1719563.6
BroomsBarn,2022-05-16,2022-05-23,12:00:00,19389292.727273,7084000,29734818.181818,21666000,27903181.818182,24016181.818182,23046000,7084000,28369454.545455,26897454.545455,12035272.727273,18341454.545455,18977090.909091,21960818.181818,13498909.090909,20553636.363636,14228636.363636,10853909.090909,12397000,27313545.454545,13735181.818182,12742000,27313545.454545,22418727.272727,23340818.181818,28543000,28957000,27654363.636364,18477363.636364,17528090.909091,17371272.727273,12403272.727273,18124000,29734818.181818,23539454.545455,11790636.363636,23959727.272727,15380727.272727,13549090.909091,12196272.727273,25542545.454545,22186636.363636,14437727.272727,21833272.727273,8202636.3636364,7794909.0909091,9030636.3636364,26201181.818182,24639272.727273,19711000,22790909.090909,20281818.181818,18910181.818182,19389292.7
BroomsBarn,2022-05-16,2022-05-23,18:00:00,35869629.090909,16997000,54612454.545455,35112636.363636,50516363.636364,36478000,42301181.818182,31039545.454545,54612454.545455,48948181.818182,27970090.909091,29486000,33897818.181818,36697545.454545,27135818.181818,39459636.363636,30215727.272727,24173000,23288545.454545,42765363.636364,28009818.181818,25385727.272727,46568727.272727,41065454.545455,38502000,52235090.909091,46115000,51492818.181818,33088636.363636,30525181.818182,34458181.818182,28145727.272727,35317545.454545,54022818.181818,38698545.454545,28752090.909091,40268818.181818,32572181.818182,25233090.909091,28152000,43026727.272727,33872727.272727,32074545.454545,40241636.363636,16997000,19462181.818182,26332909.090909,46897000,36398545.454545,29797545.454545,37151272.727273,39685454.545455,38836545.454545,35869629.1
