Site,PullDate,ValidTime,Mean,Min,Max,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50
Cranwell,2022-05-26,2022-06-15T06:00:00Z,1103330.9090909,0,1856727.2727273,0,0,0,0,0,0,0,0,0,924181.81818182,1505454.5454545,357545.45454545,945090.90909091,562454.54545455,1028727.2727273,1285909.0909091,1610000,512272.72727273,1484545.4545455,1716636.3636364,1637181.8181818,1022454.5454545,1446909.0909091,1256636.3636364,1771000,1691545.4545455,1597454.5454545,924181.81818182,1457363.6363636,1405090.9090909,1545181.8181818,1426000,1664363.6363636,1791909.0909091,1856727.2727273,1336090.9090909,437000,1649727.2727273,1152090.9090909,558272.72727273,1758454.5454545,1534727.2727273,1246181.8181818,1729181.8181818,1143727.2727273,1695727.2727273,1702000,1729181.8181818,1676909.0909091,1390454.5454545
Cranwell,2022-05-26,2022-06-15T12:00:00Z,16579278.181818,0,28871272.727273,0,0,0,0,0,0,0,0,0,21189272.727273,16587181.818182,12480636.363636,16666636.363636,12779636.363636,18015272.727273,20426090.909091,24503363.636364,10824636.363636,16284000,22165727.272727,24292181.818182,16179454.545455,19460090.909091,22546272.727273,25067909.090909,24892272.727273,18454363.636364,16679181.818182,25360636.363636,26893272.727273,22255636.363636,13607636.363636,18138636.363636,18289181.818182,20045545.454545,16087454.545455,11610818.181818,26046454.545455,19621090.909091,11983000,27623000,23704636.363636,19307454.545455,27407636.363636,14360363.636364,23227909.090909,28411272.727273,28871272.727273,23608454.545455,23008363.636364
Cranwell,2022-05-26,2022-06-15T18:00:00Z,14881585.454545,0,26901636.363636,0,0,0,0,0,0,0,0,0,18678090.909091,15272000,22452181.818182,11769727.272727,14533909.090909,26033909.090909,20037181.818182,22088363.636364,9183272.7272727,16146000,16238000,26144727.272727,12240181.818182,22527454.545455,12727363.636364,26901636.363636,17061818.181818,9908818.1818182,14264181.818182,25576000,16917545.454545,18044545.454545,24616272.727273,13662000,16894545.454545,15713181.818182,10385545.454545,19274000,19125545.454545,16319545.454545,12158636.363636,17337818.181818,14916545.454545,16760727.272727,25435909.090909,12875818.181818,20181454.545455,23294818.181818,26414454.545455,22466818.181818,21498727.272727
Cranwell,2022-05-26,2022-06-16T00:00:00Z,935012.72727273,0,1940363.6363636,0,0,0,0,0,0,0,0,0,1252454.5454545,1338181.8181818,1852545.4545455,874000,794545.45454545,1806545.4545455,1193909.0909091,1580727.2727273,503909.09090909,1415545.4545455,384727.27272727,1605818.1818182,1028727.2727273,1219000,230000,1940363.6363636,1139545.4545455,627272.72727273,834272.72727273,1821181.8181818,1369545.4545455,1430181.8181818,786181.81818182,545727.27272727,1829545.4545455,947181.81818182,1426000,1076818.1818182,1476181.8181818,1262909.0909091,658636.36363636,1593272.7272727,761090.90909091,729727.27272727,1457363.6363636,1185545.4545455,1469909.0909091,583363.63636364,1593272.7272727,631454.54545455,493454.54545455
Cranwell,2022-05-26,2022-06-16T06:00:00Z,1047294.5454545,0,1854636.3636364,0,0,0,0,0,0,0,0,0,1605818.1818182,1645545.4545455,1854636.3636364,608454.54545455,631454.54545455,1743818.1818182,1526363.6363636,1020363.6363636,334545.45454545,1597454.5454545,1035000,1756363.6363636,963909.09090909,1129090.9090909,1474090.9090909,1446909.0909091,1428090.9090909,1430181.8181818,618909.09090909,1342363.6363636,1292181.8181818,917909.09090909,1342363.6363636,635636.36363636,1791909.0909091,901181.81818182,1363272.7272727,1170909.0909091,1561909.0909091,1651818.1818182,765272.72727273,1768909.0909091,508090.90909091,656545.45454545,1835818.1818182,1743818.1818182,1472000,1265000,1561909.0909091,1315181.8181818,1649727.2727273
Cranwell,2022-05-26,2022-06-16T12:00:00Z,16379638.181818,0,29249727.272727,0,0,0,0,0,0,0,0,0,25785090.909091,26019272.727273,20342454.545455,14069727.272727,11920272.727273,29069909.090909,23807090.909091,14954181.818182,7868090.9090909,18690636.363636,20850545.454545,19836454.545455,20524363.636364,14847545.454545,13534454.545455,28394545.454545,17595000,27951272.727273,14594545.454545,25427545.454545,16658272.727273,19412000,26968545.454545,9854454.5454545,29249727.272727,15060818.181818,13766545.454545,18034090.909091,24327727.272727,21509181.818182,15052454.545455,28986272.727273,14042545.454545,15244818.181818,20394727.272727,23309454.545455,23476727.272727,25141090.909091,15209272.727273,23746454.545455,23453727.272727
Cranwell,2022-05-26,2022-06-16T18:00:00Z,14906341.818182,0,29722272.727273,0,0,0,0,0,0,0,0,0,26033909.090909,24906909.090909,16741909.090909,9172818.1818182,10350000,28591090.909091,12704363.636364,14425181.818182,13482181.818182,26284818.181818,15184181.818182,22820181.818182,14105272.727273,12811000,16231727.272727,28796000,15380727.272727,27641818.181818,16028909.090909,28126909.090909,14485818.181818,17239545.454545,24026636.363636,11219818.181818,14176363.636364,11370363.636364,11608727.272727,19706818.181818,11454000,19767454.545455,10937545.454545,29722272.727273,18381181.818182,19144363.636364,13618090.909091,25647090.909091,16194090.909091,19167363.636364,13448727.272727,21099363.636364,23081545.454545
Cranwell,2022-05-26,2022-06-17T00:00:00Z,1025674.5454545,0,1942454.5454545,0,0,0,0,0,0,0,0,0,1789818.1818182,1637181.8181818,1574454.5454545,485090.90909091,692090.90909091,1886000,926272.72727273,840545.45454545,1618363.6363636,1900636.3636364,1377909.0909091,1354909.0909091,453727.27272727,731818.18181818,1302636.3636364,1825363.6363636,915818.18181818,1854636.3636364,1390454.5454545,1254545.4545455,1572363.6363636,1256636.3636364,888636.36363636,625181.81818182,986909.09090909,608454.54545455,1072636.3636364,1423909.0909091,499727.27272727,1373727.2727273,725545.45454545,1942454.5454545,1714545.4545455,922090.90909091,1369545.4545455,1461545.4545455,1459454.5454545,1133272.7272727,1359090.9090909,1308909.0909091,1766818.1818182
Cranwell,2022-05-26,2022-06-17T06:00:00Z,1043238.1818182,0,1794000,0,0,0,0,0,0,0,0,0,1737545.4545455,1735454.5454545,1641363.6363636,552000,1060090.9090909,1773090.9090909,901181.81818182,731818.18181818,1794000,1760545.4545455,1005727.2727273,1384181.8181818,1189727.2727273,1507545.4545455,1662272.7272727,1735454.5454545,865636.36363636,1599545.4545455,1396727.2727273,1087272.7272727,1302636.3636364,947181.81818182,382636.36363636,428636.36363636,1254545.4545455,1252454.5454545,882363.63636364,1386272.7272727,692090.90909091,1361181.8181818,761090.90909091,1733363.6363636,1478272.7272727,1206454.5454545,1612090.9090909,1549363.6363636,986909.09090909,1459454.5454545,1265000,1451090.9090909,1647636.3636364
Cranwell,2022-05-26,2022-06-17T12:00:00Z,17255352.727273,0,28664272.727273,0,0,0,0,0,0,0,0,0,28664272.727273,27892727.272727,23480909.090909,12610272.727273,15499909.090909,28664272.727273,22318363.636364,10088636.363636,20582909.090909,28555545.454545,13904545.454545,15215545.454545,20317363.636364,24285909.090909,22174090.909091,28480272.727273,20457454.545455,24725000,21036636.363636,25806000,21996363.636364,17555272.727273,20246272.727273,19426636.363636,24607909.090909,15037818.181818,15194636.363636,19455909.090909,9591000,20277636.363636,13427818.181818,27754727.272727,22694727.272727,13873181.818182,21781000,27660636.363636,26788727.272727,26353818.181818,19347181.818182,21847909.090909,23087818.181818
Cranwell,2022-05-26,2022-06-17T18:00:00Z,15591156.363636,0,29195363.636364,0,0,0,0,0,0,0,0,0,29166090.909091,19807181.818182,6030181.8181818,10433636.363636,15190454.545455,29195363.636364,27192272.727273,13068181.818182,13975636.363636,27631363.636364,10557000,16572545.454545,18251545.454545,18981272.727273,22029818.181818,29118000,12068727.272727,23796636.363636,21678545.454545,27577000,17728818.181818,13003363.636364,26905818.181818,19430818.181818,14358272.727273,22054909.090909,12254818.181818,10642727.272727,9398636.3636364,25998363.636364,14285090.909091,24187636.363636,12215090.909091,17622181.818182,19217545.454545,23667000,14705363.636364,26366363.636364,16173181.818182,22713545.454545,24306818.181818
Cranwell,2022-05-26,2022-06-18T00:00:00Z,1042820,0,1975909.0909091,0,0,0,0,0,0,0,0,0,1932000,1670636.3636364,225818.18181818,669090.90909091,1260818.1818182,1975909.0909091,1900636.3636364,1446909.0909091,1269181.8181818,1886000,560363.63636364,1641363.6363636,416090.90909091,748545.45454545,1191818.1818182,1963363.6363636,1509636.3636364,1643454.5454545,1181363.6363636,1800272.7272727,487181.81818182,1367454.5454545,1957090.9090909,1536818.1818182,750636.36363636,1070545.4545455,769454.54545455,518545.45454545,878181.81818182,1817000,915818.18181818,1476181.8181818,650272.72727273,1066363.6363636,1308909.0909091,1455272.7272727,1183454.5454545,1781454.5454545,1032909.0909091,1501272.7272727,1722909.0909091
Cranwell,2022-05-26,2022-06-18T06:00:00Z,984358.18181818,0,1825363.6363636,0,0,0,0,0,0,0,0,0,1359090.9090909,489272.72727273,1068454.5454545,202818.18181818,1775181.8181818,1825363.6363636,1300545.4545455,857272.72727273,1760545.4545455,1791909.0909091,1388363.6363636,1676909.0909091,1200181.8181818,1394636.3636364,1170909.0909091,1156272.7272727,1440636.3636364,1785636.3636364,842636.36363636,1273363.6363636,915818.18181818,1651818.1818182,1750090.9090909,1407181.8181818,1518000,884454.54545455,1298454.5454545,667000,1428090.9090909,1164636.3636364,570818.18181818,267636.36363636,403545.45454545,857272.72727273,1185545.4545455,1129090.9090909,792454.54545455,1620454.5454545,1283818.1818182,1639272.7272727,1022454.5454545
Cranwell,2022-05-26,2022-06-18T12:00:00Z,16101380,0,29203727.272727,0,0,0,0,0,0,0,0,0,25753727.272727,18768000,18632090.909091,19976545.454545,28319272.727273,29203727.272727,24704090.909091,15903454.545455,17682818.181818,28545090.909091,15698545.454545,24449000,10485909.090909,20969727.272727,22719818.181818,23483000,25396181.818182,28804363.636364,12974090.909091,10640636.363636,16307000,16587181.818182,27919909.090909,22525363.636364,20821272.727273,19890818.181818,20403090.909091,14414727.272727,12627000,22640363.636364,14203545.454545,5532545.4545455,4198545.4545455,15027363.636364,15614909.090909,19006363.636364,16957272.727273,27194363.636364,23884454.545455,23288545.454545,22914272.727273
Cranwell,2022-05-26,2022-06-18T18:00:00Z,14474778.181818,0,29417000,0,0,0,0,0,0,0,0,0,24658090.909091,20453272.727273,11548090.909091,18387454.545455,22333000,29417000,24099818.181818,18876727.272727,7836727.2727273,22134363.636364,15042000,24271272.727273,12432545.454545,14147090.909091,15315909.090909,25283272.727273,18797272.727273,27907363.636364,17825000,11654727.272727,14385454.545455,14352000,21532181.818182,15897181.818182,19424545.454545,18680181.818182,12006000,12951090.909091,9062000,23558272.727273,13170636.363636,13256363.636364,7725909.0909091,12691818.181818,13609727.272727,18193000,19838545.454545,25302090.909091,17020000,23330363.636364,15330545.454545
Cranwell,2022-05-26,2022-06-19T00:00:00Z,1026176.3636364,0,2003090.9090909,0,0,0,0,0,0,0,0,0,1369545.4545455,1528454.5454545,1212727.2727273,271818.18181818,1601636.3636364,2003090.9090909,1720818.1818182,1584909.0909091,700454.54545455,1116545.4545455,677454.54545455,1526363.6363636,570818.18181818,1168818.1818182,1346545.4545455,1147909.0909091,1482454.5454545,1635090.9090909,1342363.6363636,658636.36363636,1214818.1818182,1695727.2727273,1495000,1085181.8181818,1363272.7272727,1227363.6363636,568727.27272727,1526363.6363636,809181.81818182,1564000,618909.09090909,1564000,819636.36363636,1087272.7272727,993181.81818182,1336090.9090909,1482454.5454545,1739636.3636364,1660181.8181818,1693636.3636364,1097727.2727273
Cranwell,2022-05-26,2022-06-19T06:00:00Z,1006145.4545455,0,1840000,0,0,0,0,0,0,0,0,0,1413454.5454545,1580727.2727273,1750090.9090909,1840000,1754272.7272727,1837909.0909091,1699909.0909091,1162545.4545455,779909.09090909,1513818.1818182,777818.18181818,1762636.3636364,1384181.8181818,1430181.8181818,1434363.6363636,1223181.8181818,957636.36363636,1541000,585454.54545455,585454.54545455,1302636.3636364,1177181.8181818,246727.27272727,888636.36363636,1672727.2727273,792454.54545455,1302636.3636364,1451090.9090909,562454.54545455,1522181.8181818,271818.18181818,1083090.9090909,340818.18181818,715090.90909091,1281727.2727273,1327727.2727273,1620454.5454545,1444818.1818182,1733363.6363636,1679000,876090.90909091
Cranwell,2022-05-26,2022-06-19T12:00:00Z,16422292.727273,0,28883818.181818,0,0,0,0,0,0,0,0,0,23242545.454545,23424454.545455,25544636.363636,23372181.818182,28852454.545455,28883818.181818,24150000,24150000,13294000,24482454.545455,21820727.272727,28239818.181818,22289090.909091,21900181.818182,24064272.727273,22029818.181818,17843818.181818,24775181.818182,5394545.4545455,10732636.363636,26151000,12754545.454545,14573636.363636,14853818.181818,24091454.545455,18887181.818182,16990727.272727,21684818.181818,14343636.363636,24354909.090909,12355181.818182,19918000,7535636.3636364,14274636.363636,20160545.454545,21617909.090909,17076454.545455,23227909.090909,23899090.909091,26286909.090909,7590000
