Site,PullDate,ValidTime,Mean,Min,Max,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20,model21,model22,model23,model24,model25,model26,model27,model28,model29,model30,model31,model32,model33,model34,model35,model36,model37,model38,model39,model40,model41,model42,model43,model44,model45,model46,model47,model48,model49,model50
BroomsBarn,2022-05-02,2022-05-11T00:00:00Z,507338.18181818,0,828000,0,0,0,0,0,0,0,0,0,828000,667000,401454.54545455,779909.09090909,506000,769454.54545455,388909.09090909,221636.36363636,520636.36363636,671181.81818182,664909.09090909,786181.81818182,614727.27272727,526909.09090909,727636.36363636,575000,713000,782000,416090.90909091,817545.45454545,368000,476727.27272727,769454.54545455,104545.45454545,750636.36363636,710909.09090909,692090.90909091,595909.09090909,487181.81818182,606363.63636364,572909.09090909,775727.27272727,763181.81818182,681636.36363636,752727.27272727,802909.09090909,589636.36363636,606363.63636364,782000,552000,547818.18181818
BroomsBarn,2022-05-02,2022-05-11T06:00:00Z,688536.36363636,0,1097727.2727273,0,0,0,0,0,0,0,0,0,1097727.2727273,972272.72727273,209090.90909091,1051727.2727273,848909.09090909,1009909.0909091,1020363.6363636,683727.27272727,357545.45454545,953454.54545455,995272.72727273,1020363.6363636,959727.27272727,744363.63636364,267636.36363636,311545.45454545,926272.72727273,1032909.0909091,725545.45454545,1049636.3636364,466272.72727273,838454.54545455,997363.63636364,1032909.0909091,1039181.8181818,1012000,1047545.4545455,1039181.8181818,832181.81818182,920000,144272.72727273,1045454.5454545,928363.63636364,706727.27272727,1043363.6363636,1064272.7272727,581272.72727273,1081000,926272.72727273,1068454.5454545,374272.72727273
BroomsBarn,2022-05-02,2022-05-11T12:00:00Z,18399289.090909,0,28492818.181818,0,0,0,0,0,0,0,0,0,28492818.181818,26002545.454545,18400000,25921000,14467000,27685727.272727,27160909.090909,25335545.454545,12905090.909091,25561363.636364,25741181.818182,27029181.818182,22788818.181818,24233636.363636,16622727.272727,16319545.454545,23179818.181818,27198545.454545,19021000,27474545.454545,15303363.636364,19343000,27010363.636364,23604272.727273,26217909.090909,25178727.272727,26316181.818182,27771454.545455,14061363.636364,20904909.090909,8838272.7272727,27662727.272727,26502272.727273,13151818.181818,26843090.909091,27907363.636364,23880272.727273,20733454.545455,15640000,27932454.545455,13620181.818182
BroomsBarn,2022-05-02,2022-05-11T18:00:00Z,16246614.545455,0,27664818.181818,0,0,0,0,0,0,0,0,0,27664818.181818,25584363.636364,9361000,16171090.909091,12116818.181818,26734363.636364,26059000,23018818.181818,12997090.909091,26073636.363636,21781000,25661727.272727,19616909.090909,16549545.454545,13848090.909091,17496727.272727,20620545.454545,26424909.090909,21440181.818182,22776272.727273,15997545.454545,7953818.1818182,23000000,23000000,18868363.636364,21126545.454545,24384181.818182,25141090.909091,16637363.636364,21042909.090909,18849545.454545,26899545.454545,22228454.545455,13064000,19223818.181818,26853545.454545,18613272.727273,14293454.545455,3853545.4545455,26945545.454545,12357272.727273
BroomsBarn,2022-05-02,2022-05-12T00:00:00Z,512690.90909091,0,869818.18181818,0,0,0,0,0,0,0,0,0,869818.18181818,790363.63636364,146363.63636364,704636.36363636,480909.09090909,828000,796636.36363636,750636.36363636,658636.36363636,828000,506000,765272.72727273,566636.36363636,579181.81818182,514363.63636364,771545.45454545,679545.45454545,802909.09090909,786181.81818182,746454.54545455,514363.63636364,112909.09090909,608454.54545455,710909.09090909,673272.72727273,545727.27272727,794545.45454545,604272.72727273,692090.90909091,748545.45454545,637727.27272727,830090.90909091,706727.27272727,485090.90909091,422363.63636364,809181.81818182,405636.36363636,491363.63636364,115000,828000,326181.81818182
BroomsBarn,2022-05-02,2022-05-12T06:00:00Z,721112.72727273,0,1147909.0909091,0,0,0,0,0,0,0,0,0,1147909.0909091,681636.36363636,1037090.9090909,1072636.3636364,999454.54545455,1066363.6363636,980636.36363636,742272.72727273,1053818.1818182,1076818.1818182,750636.36363636,980636.36363636,993181.81818182,290636.36363636,564545.45454545,947181.81818182,744363.63636364,1062181.8181818,669090.90909091,1035000,1055909.0909091,1026636.3636364,828000,1093545.4545455,1032909.0909091,702545.45454545,683727.27272727,1070545.4545455,524818.18181818,901181.81818182,792454.54545455,1104000,1030818.1818182,656545.45454545,825909.09090909,1106090.9090909,466272.72727273,163090.90909091,1093545.4545455,1085181.8181818,915818.18181818
BroomsBarn,2022-05-02,2022-05-12T12:00:00Z,18479663.636364,0,28051636.363636,0,0,0,0,0,0,0,0,0,28051636.363636,24781454.545455,21557272.727273,23623090.909091,21084727.272727,25820636.363636,26713454.545455,15792636.363636,27317727.272727,27878090.909091,25201727.272727,23029272.727273,24097727.272727,15460181.818182,11679818.181818,23466272.727273,22422909.090909,27382545.454545,18634181.818182,26406090.909091,14260000,22385272.727273,24455272.727273,20884000,26880727.272727,19968181.818182,21766363.636364,27562363.636364,21670181.818182,25371090.909091,11790636.363636,27991000,26464636.363636,25653363.636364,20233727.272727,27556090.909091,12976181.818182,8326000,24490818.181818,27434818.181818,25461000
BroomsBarn,2022-05-02,2022-05-12T18:00:00Z,16037230.909091,0,27160909.090909,0,0,0,0,0,0,0,0,0,26684181.818182,23271818.181818,16131363.636364,15472727.272727,14862181.818182,23196545.454545,25776727.272727,14402181.818182,17981818.181818,27160909.090909,22253545.454545,17270909.090909,19044000,23290636.363636,12800545.454545,15167454.545455,16689636.363636,26726000,10638545.454545,23589636.363636,9461363.6363636,14667727.272727,24202272.727273,12691818.181818,25990000,16850636.363636,18749181.818182,26631909.090909,17703727.272727,19309545.454545,14855909.090909,26928818.181818,21065909.090909,25617818.181818,9942272.7272727,26744818.181818,13482181.818182,14784818.181818,19115090.909091,24254545.454545,26399818.181818
BroomsBarn,2022-05-02,2022-05-13T00:00:00Z,549950.90909091,0,869818.18181818,0,0,0,0,0,0,0,0,0,851000,694181.81818182,334545.45454545,618909.09090909,514363.63636364,763181.81818182,828000,296909.09090909,422363.63636364,869818.18181818,694181.81818182,715090.90909091,631454.54545455,857272.72727273,694181.81818182,457909.09090909,405636.36363636,844727.27272727,669090.90909091,744363.63636364,583363.63636364,612636.36363636,809181.81818182,303181.81818182,809181.81818182,351272.72727273,775727.27272727,846818.18181818,756909.09090909,788272.72727273,725545.45454545,796636.36363636,698363.63636364,836363.63636364,556181.81818182,857272.72727273,658636.36363636,443272.72727273,733909.09090909,809181.81818182,838454.54545455
BroomsBarn,2022-05-02,2022-05-13T06:00:00Z,742105.45454545,0,1152090.9090909,0,0,0,0,0,0,0,0,0,1099818.1818182,1026636.3636364,1095636.3636364,1012000,633545.45454545,1095636.3636364,1070545.4545455,566636.36363636,138000,1152090.9090909,984818.18181818,1028727.2727273,953454.54545455,1133272.7272727,876090.90909091,848909.09090909,1039181.8181818,1089363.6363636,920000,1032909.0909091,633545.45454545,1058000,1085181.8181818,526909.09090909,1085181.8181818,414000,1099818.1818182,1018272.7272727,940909.09090909,976454.54545455,997363.63636364,901181.81818182,1058000,1120727.2727273,215363.63636364,1133272.7272727,878181.81818182,255090.90909091,790363.63636364,1026636.3636364,1093545.4545455
BroomsBarn,2022-05-02,2022-05-13T12:00:00Z,18526750.909091,0,28271181.818182,0,0,0,0,0,0,0,0,0,27612545.454545,13572090.909091,14845454.545455,27319818.181818,15391181.818182,26408181.818182,25661727.272727,22575545.454545,15815636.363636,28271181.818182,25962818.181818,24986363.636364,23614727.272727,26625636.363636,19052363.636364,24382090.909091,25216363.636364,27313545.454545,22859909.090909,25049090.909091,19108818.181818,21992181.818182,27478727.272727,13927545.454545,27242454.545455,14113636.363636,27319818.181818,26456272.727273,24442727.272727,22379000,8175454.5454545,26510636.363636,25381545.454545,28072545.454545,14536000,27294727.272727,24710363.636364,18707363.636364,17038818.181818,21212272.727273,27700363.636364
BroomsBarn,2022-05-02,2022-05-13T18:00:00Z,16832278.181818,0,27246636.363636,0,0,0,0,0,0,0,0,0,26673727.272727,20488818.181818,12068727.272727,26772000,8104363.6363636,23759000,22600636.363636,25059545.454545,11205181.818182,27227818.181818,26069454.545455,22019363.636364,20380090.909091,24936181.818182,14881000,22138545.454545,17563636.363636,25191272.727273,16062363.636364,20547363.636364,13582545.454545,13668272.727273,27029181.818182,10770272.727273,26445818.181818,22983272.727273,25149454.545455,24804454.545455,20076909.090909,21695272.727273,8282090.9090909,23585454.545455,19750727.272727,26861909.090909,21787272.727273,23853090.909091,22508636.363636,20091545.454545,12936454.545455,14755545.454545,27246636.363636
BroomsBarn,2022-05-02,2022-05-14T00:00:00Z,549616.36363636,0,909545.45454545,0,0,0,0,0,0,0,0,0,836363.63636364,792454.54545455,656545.45454545,874000,240454.54545455,828000,832181.81818182,796636.36363636,313636.36363636,882363.63636364,825909.09090909,748545.45454545,566636.36363636,888636.36363636,397272.72727273,840545.45454545,669090.90909091,767363.63636364,662818.18181818,664909.09090909,432818.18181818,351272.72727273,723454.54545455,451636.36363636,855181.81818182,587545.45454545,832181.81818182,800818.18181818,489272.72727273,353363.63636364,572909.09090909,779909.09090909,587545.45454545,869818.18181818,480909.09090909,541545.45454545,832181.81818182,480909.09090909,830090.90909091,633545.45454545,909545.45454545
BroomsBarn,2022-05-02,2022-05-14T06:00:00Z,747332.72727273,0,1187636.3636364,0,0,0,0,0,0,0,0,0,1147909.0909091,807090.90909091,1062181.8181818,1133272.7272727,284363.63636364,1060090.9090909,1101909.0909091,788272.72727273,483000,1133272.7272727,1122818.1818182,863545.45454545,1124909.0909091,911636.36363636,834272.72727273,1062181.8181818,345000,1106090.9090909,1104000,949272.72727273,1099818.1818182,934636.36363636,1116545.4545455,535272.72727273,1122818.1818182,754818.18181818,1110272.7272727,535272.72727273,1106090.9090909,746454.54545455,752727.27272727,1045454.5454545,947181.81818182,1135363.6363636,602181.81818182,865636.36363636,1118636.3636364,269727.27272727,1147909.0909091,807090.90909091,1187636.3636364
BroomsBarn,2022-05-02,2022-05-14T12:00:00Z,17943052.727273,0,28225181.818182,0,0,0,0,0,0,0,0,0,28137363.636364,18834909.090909,24840000,27313545.454545,15652545.454545,23662818.181818,26763636.363636,20743909.090909,12259000,27528909.090909,27729636.363636,24336090.909091,17787363.636364,12351000,13268909.090909,26341272.727273,19361818.181818,27581181.818182,19554181.818182,25910545.454545,23861454.545455,17797818.181818,23581272.727273,22146909.090909,27712909.090909,23123363.636364,27098181.818182,16409454.545455,22809727.272727,16539090.909091,19025181.818182,24697818.181818,15102636.363636,27577000,17095272.727273,18222272.727273,25619909.090909,17030454.545455,23363818.181818,20154272.727273,28225181.818182
BroomsBarn,2022-05-02,2022-05-14T18:00:00Z,17225578.181818,0,28223090.909091,0,0,0,0,0,0,0,0,0,28223090.909091,23361727.272727,17082727.272727,24334000,21390000,23207000,25605272.727273,26067363.636364,20026727.272727,26828454.545455,27102363.636364,24584909.090909,18828636.363636,18299636.363636,12156545.454545,26550363.636364,20815000,25906363.636364,23064818.181818,24584909.090909,9923454.5454545,16656181.818182,15861636.363636,25582272.727273,27219454.545455,20505545.454545,24672727.272727,21306363.636364,23173545.454545,20233727.272727,11799000,14667727.272727,17866818.181818,27081454.545455,7374636.3636364,19543727.272727,25757909.090909,20731363.636364,14623818.181818,11497909.090909,27179727.272727
BroomsBarn,2022-05-02,2022-05-15T00:00:00Z,586040,0,955545.45454545,0,0,0,0,0,0,0,0,0,955545.45454545,794545.45454545,474636.36363636,884454.54545455,631454.54545455,767363.63636364,859363.63636364,775727.27272727,447454.54545455,901181.81818182,903272.72727273,825909.09090909,710909.09090909,878181.81818182,309454.54545455,871909.09090909,825909.09090909,792454.54545455,840545.45454545,811272.72727273,202818.18181818,746454.54545455,430727.27272727,823818.18181818,913727.27272727,690000,840545.45454545,777818.18181818,871909.09090909,859363.63636364,196545.45454545,635636.36363636,815454.54545455,915818.18181818,192363.63636364,618909.09090909,857272.72727273,790363.63636364,696272.72727273,255090.90909091,909545.45454545
BroomsBarn,2022-05-02,2022-05-15T06:00:00Z,692592.72727273,0,1223181.8181818,0,0,0,0,0,0,0,0,0,1223181.8181818,409818.18181818,1016181.8181818,1020363.6363636,1087272.7272727,1020363.6363636,1108181.8181818,330363.63636364,1020363.6363636,1173000,1083090.9090909,961818.18181818,468363.63636364,894909.09090909,472545.45454545,976454.54545455,1078909.0909091,961818.18181818,949272.72727273,830090.90909091,696272.72727273,253000,290636.36363636,1154181.8181818,1139545.4545455,715090.90909091,1091454.5454545,612636.36363636,1135363.6363636,901181.81818182,474636.36363636,846818.18181818,1135363.6363636,1173000,1060090.9090909,713000,1070545.4545455,602181.81818182,238363.63636364,253000,986909.09090909
